tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt5350582,tvSpecial,National Television Awards,National Television Awards,0,2016,\N,\N,\N,5.7,20
tt5352432,tvSpecial,Hannibal Buress: Comedy Camisado,Hannibal Buress: Comedy Camisado,0,2016,\N,83,Comedy,6.6,1616
tt5355776,tvSpecial,Wanda Sykes: Better Looking & Stylish,Wanda Sykes: Better Looking & Stylish,0,2015,\N,\N,Comedy,2.4,9
tt5358268,tvSpecial,Must See TV: A Tribute to James Burrows,Must See TV: A Tribute to James Burrows,0,2016,\N,87,Comedy,7.0,92
tt5358308,tvSpecial,The Victoria's Secret Swim Special,The Victoria's Secret Swim Special,0,2016,\N,60,\N,7.2,76
tt5360212,tvSpecial,Helmut Qualtinger liest Mein Kampf,Helmut Qualtinger liest Mein Kampf,0,1985,\N,93,\N,6.5,15
tt5363612,tvSpecial,RuPaul's Drag Race: Green Screen Christmas,RuPaul's Drag Race: Green Screen Christmas,0,2015,\N,\N,Reality-TV,3.4,43
tt5363742,tvSpecial,2016 Golden Globe Arrivals Special,2016 Golden Globe Arrivals Special,0,2016,\N,42,Documentary,4.8,43
tt5369246,tvSpecial,Whitney Cummings: I'm Your Girlfriend,Whitney Cummings: I'm Your Girlfriend,0,2016,\N,70,Comedy,6.3,891
tt5373608,tvSpecial,Xander De Rycke: Zijn derde show,Xander De Rycke: Zijn derde show,0,2014,\N,160,"Comedy,Documentary",7.8,32
tt5377658,tvSpecial,Dylan Moran: Off the Hook,Dylan Moran: Off the Hook,0,2015,\N,78,Comedy,7.8,431
tt5378728,tvSpecial,Tony Hinchcliffe: One Shot,Tony Hinchcliffe: One Shot,0,2016,\N,57,Comedy,5.7,262
tt5396952,tvSpecial,Xander De Rycke: Mijn zwarte parade,Xander De Rycke: Mijn zwarte parade,0,2012,\N,\N,"Comedy,Documentary",7.6,32
tt5421678,tvSpecial,22nd Annual Screen Actors Guild Awards,22nd Annual Screen Actors Guild Awards,0,2016,\N,95,News,6.5,90
tt5423626,tvSpecial,"Streets of Rage 2 (Sega Genesis) Live Stream with James Rolfe, Mike Matei & Ryan Schott","Streets of Rage 2 (Sega Genesis) Live Stream with James Rolfe, Mike Matei & Ryan Schott",0,2015,\N,64,"Reality-TV,Talk-Show",2.6,29
tt5426030,tvSpecial,WWE Fastlane,WWE Fastlane,0,2016,\N,169,"Action,Sport",5.4,321
tt5426692,tvSpecial,Trevor Noah: Pay Back the Funny,Trevor Noah: Pay Back the Funny,0,2015,\N,84,Comedy,6.9,307
tt5426996,tvSpecial,Snaketacular,Snaketacular,0,2016,\N,43,Reality-TV,6.9,12
tt5428474,tvSpecial,John Bishop's Christmas Show,John Bishop's Christmas Show,0,2015,\N,60,"Comedy,Documentary",5.9,10
tt5432220,tvSpecial,Mortal Kombat X: Rezhim istorii #2,Mortal Kombat X: Rezhim istorii #2,0,2015,\N,198,\N,1.7,24
tt5437608,tvSpecial,Taraji and Terrence's White Hot Holidays,Taraji and Terrence's White Hot Holidays,0,2015,\N,60,"Comedy,Music",6.8,25
tt5440526,tvSpecial,The 24th Annual Movieguide Awards,The 24th Annual Movieguide Awards,0,2016,\N,\N,\N,4.1,22
tt5442712,tvSpecial,CCTV Spring Festival Gala,2016 Nian zhong yang dian shi tai chun jie lian huan wan hui,0,2016,\N,258,Music,2.5,51
tt5447518,tvSpecial,Super Bowl LI,Super Bowl LI,0,2017,\N,90,Sport,8.4,477
tt5447642,tvSpecial,Vidkryttya fontanu Roshen: Voyni svitla,Vidkryttya fontanu Roshen: Voyni svitla,0,2015,\N,270,Music,2.8,18
tt5448304,tvSpecial,The EE British Academy Film Awards,The EE British Academy Film Awards,0,2016,\N,\N,\N,6.8,66
tt5449930,tvSpecial,Kitten Bowl II,Kitten Bowl II,0,2015,\N,126,"Comedy,Sport",8.5,8
tt5450984,tvSpecial,The BRIT Awards 2016,The BRIT Awards 2016,0,2016,\N,\N,Music,6.8,26
tt5457520,tvSpecial,Patton Oswalt: Talking for Clapping,Patton Oswalt: Talking for Clapping,0,2016,\N,65,"Comedy,Documentary",6.8,2116
tt5458948,tvSpecial,Kitten Bowl III,Kitten Bowl III,0,2016,\N,126,"Comedy,Sport",8.9,9
tt5460134,tvSpecial,PBS Newshour Vote 2016 Democratic Debate,PBS Newshour Vote 2016 Democratic Debate,0,2016,\N,\N,News,6.0,13
tt5462864,tvSpecial,BAFTAs 2016: Live from the Red Carpet,BAFTAs 2016: Live from the Red Carpet,0,2016,\N,\N,\N,6.6,9
tt5465166,tvSpecial,CBS News Republican Presidential Debate,CBS News Republican Presidential Debate,0,2016,\N,120,News,3.9,20
tt5466466,tvSpecial,All-Star Dog Rescue Celebration,All-Star Dog Rescue Celebration,0,2015,\N,120,Family,6.2,11
tt5466870,tvSpecial,Sports Illustrated Swimsuit 2016 Revealed,Sports Illustrated Swimsuit 2016 Revealed,0,2016,\N,60,Documentary,5.1,15
tt5467246,tvSpecial,The Bachelor at 20: A Celebration of Love,The Bachelor at 20: A Celebration of Love,0,2016,\N,120,Reality-TV,6.1,18
tt5471368,tvSpecial,Helene Fischer: Farbenspiel Live - Die Stadion-Tournee,Helene Fischer: Farbenspiel Live - Die Stadion-Tournee,0,2015,\N,\N,Music,9.3,15
tt5472170,tvSpecial,Grammy Red Carpet Live,Grammy Red Carpet Live,0,2016,\N,60,\N,4.2,11
tt5473160,tvSpecial,The Bing Crosby Show,The Bing Crosby Show,0,1968,\N,60,Music,7.2,13
tt5475300,tvSpecial,The 47th NAACP Image Awards,The 47th NAACP Image Awards,0,2016,\N,180,Family,3.2,21
tt5477746,tvSpecial,Klaas van der Eerden: Schaap,Klaas van der Eerden: Schaap,0,2007,\N,72,Comedy,6.5,7
tt5485460,tvSpecial,The Great British Sex Survey,The Great British Sex Survey,0,2016,\N,\N,\N,4.7,31
tt5489756,tvSpecial,Pride Shockwave 2006,Pride Shockwave 2006,0,2006,\N,\N,Sport,7.6,9
tt5494102,tvSpecial,Chonda Pierce Presents: Stand Up for Families,Chonda Pierce Presents: Stand Up for Families,0,2016,\N,81,Comedy,6.8,16
tt5494488,tvSpecial,Owen Smith: Good Luck Everybody,Owen Smith: Good Luck Everybody,0,2015,\N,58,Comedy,7.4,12
tt5498194,tvSpecial,NXT TakeOver: Dallas,NXT TakeOver: Dallas,0,2016,\N,135,"Action,Sport",8.5,411
tt5500600,tvSpecial,2016 White House Correspondents' Association Dinner,2016 White House Correspondents' Association Dinner,0,2016,\N,120,News,6.4,51
tt5503894,tvSpecial,The CNN Quiz Show: TV Edition,The CNN Quiz Show: TV Edition,0,2015,\N,\N,Game-Show,5.7,11
tt5506234,tvSpecial,Essence Ninth Annual Black Women in Hollywood,Essence Ninth Annual Black Women in Hollywood,0,2016,\N,60,\N,4.6,14
tt5507946,tvSpecial,Eurovision: You Decide,Eurovision: You Decide,0,2016,\N,90,Music,5.2,7
tt5509008,tvSpecial,Suze Orman's Financial Solutions for You,Suze Orman's Financial Solutions for You,0,2014,\N,\N,\N,5.6,9
tt5511704,tvSpecial,Troll Hunters,Troll Hunters,0,2016,\N,\N,\N,7.2,11
tt5512314,tvSpecial,WWE Roadblock,WWE Roadblock,0,2016,\N,\N,"Action,Sport",5.9,273
tt5512950,tvSpecial,Shirley Bassey at the BBC,Shirley Bassey at the BBC,0,2013,\N,60,Music,7.2,7
tt5515088,tvSpecial,The 58th Annual Grammy Awards,The 58th Annual Grammy Awards,0,2016,\N,149,Music,6.2,97
tt5519692,tvSpecial,Fox News Debate,Fox News Debate,0,2016,\N,\N,News,2.0,34
tt5528028,tvSpecial,UFC 196: McGregor vs Diaz,UFC 196: McGregor vs Diaz,0,2016,\N,\N,Sport,8.5,281
tt5544966,tvSpecial,Nickelodeon Kids' Choice Awards 2016,Nickelodeon Kids' Choice Awards 2016,0,2016,\N,69,"Family,News",6.4,54
tt5546740,tvSpecial,Klaas van der Eerden: Breedbeeld,Klaas van der Eerden: Breedbeeld,0,2013,\N,52,Comedy,6.7,7
tt5547496,tvSpecial,Ricardo O'Farrill: Abrazo genial,Ricardo O'Farrill: Abrazo genial,0,2016,\N,92,Comedy,5.5,120
tt5556144,tvSpecial,2016 MTV Movie Awards,2016 MTV Movie Awards,0,2016,\N,\N,"Comedy,News",5.4,176
tt5566936,tvSpecial,Frankie Boyle: Hurt Like You've Never Been Loved,Frankie Boyle: Hurt Like You've Never Been Loved,0,2016,\N,87,Comedy,7.5,635
tt5571712,tvSpecial,Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,0,2016,\N,75,Comedy,6.0,709
tt5571716,tvSpecial,51st Annual Academy of Country Music Awards,51st Annual Academy of Country Music Awards,0,2016,\N,180,"Music,Reality-TV",7.1,17
tt5573738,tvSpecial,Lenette van Dongen: Nikè,Lenette van Dongen: Nikè,0,2010,\N,90,"Comedy,Documentary",7.0,7
tt5573946,tvSpecial,Brigitte Kaandorp: Badwater,Brigitte Kaandorp: Badwater,0,2002,\N,100,"Comedy,Documentary",7.5,16
tt5575560,tvSpecial,The 43rd Annual Daytime Emmy Awards,The 43rd Annual Daytime Emmy Awards,0,2016,\N,119,News,5.6,13
tt5576260,tvSpecial,Wim Kan: Oudejaarsconference 1979,Wim Kan: Oudejaarsconference 1979,0,1979,\N,84,"Comedy,Documentary",7.7,7
tt5576274,tvSpecial,Brigitte Kaandorp: Cabaret voor beginners,Brigitte Kaandorp: Cabaret voor beginners,0,2013,\N,112,"Comedy,Documentary",7.5,14
tt5576300,tvSpecial,Hans Liberg: De negende,Hans Liberg: De negende,0,2007,\N,97,"Comedy,Documentary,Music",7.4,11
tt5576362,tvSpecial,André van Duin's nieuwe revue,André van Duin's nieuwe revue,0,2009,\N,140,"Comedy,Documentary",6.8,6
tt5576426,tvSpecial,Tineke Schouten: LOL Inclusive,Tineke Schouten: LOL Inclusive,0,2012,\N,90,"Comedy,Documentary",7.3,7
tt5579910,tvSpecial,Mariah Carey's Merriest Christmas,Mariah Carey's Merriest Christmas,0,2015,\N,38,Music,5.1,285
tt5580444,tvSpecial,Brigitte Kaandorp: Lustrum,Brigitte Kaandorp: Lustrum,0,2003,\N,126,"Comedy,Documentary",7.2,6
